id,text,ground_truth
29,"Gold prices soar as global central banks increase buying.",LOW_RISK
30,"Could a new tax on UPI transactions be announced in the budget? Speculation.",MEDIUM_RISK
31,"Urgent: Update your PAN card KYC or your bank account will be frozen today!",HIGH_RISK
32,"Infosys co-founder Narayana Murthy speaks on 70-hour work week culture.",LOW_RISK
33,"Vegetable prices likely to rise due to heatwave, says agricultural ministry.",LOW_RISK
34,"This hidden AI coin will do 1000x after the halving! Don't miss out.",HIGH_RISK
35,"Startup funding winter continues as deal volume drops by 40%.",LOW_RISK
36,"Opposition leader claims EVMs are being hacked via Bluetooth.",MEDIUM_RISK
37,"Reliance Jio announces new tariff plans effective from next month.",LOW_RISK
38,"Secret government production of electric flying cars exposed?",HIGH_RISK
39,"SEBI issues warning against unauthorized investment advisors.",LOW_RISK
40,"Why buying a house in Bangalore is a bad idea right now.",MEDIUM_RISK
41,"Download this APK to watch all netflix shows for free - 100% working.",HIGH_RISK
42,"ISRO successfully launches weather satellite into orbit.",LOW_RISK
43,"Are food delivery apps listening to your conversations? The truth.",MEDIUM_RISK
44,"Congratulations! You have won a lottery of ₹2 Crores. Pay ₹5000 tax to claim.",HIGH_RISK
45,"Adani group stocks recover after positive quarterly earnings report.",LOW_RISK
46,"Sources say government considering 4-day work week for central employees.",MEDIUM_RISK
47,"Buy this gemstone to fix your bad luck and become a billionaire.",HIGH_RISK
48,"Heatwave alert issued for Rajasthan and Gujarat for next 3 days.",LOW_RISK
49,"The untold truth about milk adulteration in India that media won't show.",MEDIUM_RISK
50,"Work from home jobs: Earn ₹3000/hour by typing simple text. No skills needed.",HIGH_RISK
51,"India's forex reserves jump by $5 billion in the latest week.",LOW_RISK
52,"Is the new virus strain in Kerala deadlier than COVID? Panic spreads.",MEDIUM_RISK
53,"SBI clerk recruitment notification 2026 released for 5000 posts.",LOW_RISK
54,"Act now! Only 2 iPhones left at ₹999 in this flash sale.",HIGH_RISK
55,"Local train services disrupted in Mumbai due to signal failure.",LOW_RISK
56,"Aliens spotted in Ladakh? Locals claim strange lights in the sky.",HIGH_RISK
57,"Maruti Suzuki exports reach new milestone in current fiscal year.",LOW_RISK
58,"Why you should stop drinking tap water immediately - Conspiracy.",MEDIUM_RISK
59,"Get a pre-approved credit card with ₹10 Lakh limit regardless of CIBIL score.",HIGH_RISK
60,"Parliament passes bill to regulate digital personal data.",LOW_RISK
61,"Speculation mounts over potential cabinet reshuffle next week.",MEDIUM_RISK
62,"Earn money by liking YouTube videos! Join our Telegram group.",HIGH_RISK
63,"Tata Motors unveils new EV model with 500km range.",LOW_RISK
64,"The dark side of India's startup ecosystem: Founder stories.",MEDIUM_RISK
65,"Magic weight loss drink: Melt 10kg fat in 2 days with this kitchen ingredient.",HIGH_RISK
66,"CBSE announces class 10 and 12 board exam results.",LOW_RISK
67,"Will petrol prices hit ₹200/litre? Some experts fear the worst.",MEDIUM_RISK
68,"Click this link to see who viewed your WhatsApp profile!",HIGH_RISK
69,"India to become the world's third-largest economy by 2027: IMF.",LOW_RISK
70,"Is the government secretly tracking your UPI spends? Debate.",MEDIUM_RISK
71,"Deepfake video of actor endorsing betting app goes viral.",HIGH_RISK
72,"Indian railways announces special trains for the festive season.",LOW_RISK
73,"Rumours of stock market holiday being cancelled circulate on social media.",MEDIUM_RISK
74,"Amazon giving away free gifts for its 30th anniversary! Click to win.",HIGH_RISK
75,"High court stays demolition drive in the city.",LOW_RISK
76,"Why invest in mutual funds now? Market outlook.",MEDIUM_RISK
77,"Guaranteed admission in IIT Bombay without JEE score! Call us.",HIGH_RISK
78,"Dengue cases on the rise in urban areas, municipality takes action.",LOW_RISK
79,"Are electric vehicles actually worse for the environment? Opinion.",MEDIUM_RISK
80,"Loan writoff scheme approved! Check if you are eligible instantly.",HIGH_RISK
81,"Virat Kohli scores century in crucial match against Australia.",LOW_RISK
82,"Unconfirmed reports of a major data breach at a leading bank.",MEDIUM_RISK
83,"Your SIM card will be blocked in 24 hours. Call customer care immediately.",HIGH_RISK
84,"Meteorological department predicts average monsoon rainfall this year.",LOW_RISK
85,"Is the government planning to specific ban social media apps? Rumours.",MEDIUM_RISK
86,"Become a pilot in 3 months! No exam required. 100% Job guarantee.",HIGH_RISK
87,"Government increases MSP for wheat and rice crops.",LOW_RISK
88,"Debate: Should students be allowed to use AI tools in exams?",MEDIUM_RISK
89,"Spyware alert! Delete these 5 apps from your phone right now.",HIGH_RISK
90,"Sensex crashes 800 points due to weak global cues.",LOW_RISK
91,"Will the housing bubble burst? What history tells us.",MEDIUM_RISK
92,"Claim your free ₹2000 petrol subsidy from government. Link here.",HIGH_RISK
93,"New education policy implementation guidelines released.",LOW_RISK
94,"Actor's controversial statement sparks debate on intolerance.",MEDIUM_RISK
95,"Binary trading strategy: Make $100 every minute. Verified proof!",HIGH_RISK
96,"Hospital chain announces expansion plans in tier-2 cities.",LOW_RISK
97,"Is your toothpaste purely chemical? Natural alternatives discussion.",MEDIUM_RISK
98,"Hack anyone's Instagram account with this software!",HIGH_RISK
99,"India wins cricket world cup final in thrilling finish.",LOW_RISK
100,"Leaked: Next year's budget highlights reveal tax hikes.",MEDIUM_RISK
101,"Lottery winner donates half of wealth to charity. True story.",LOW_RISK
102,"Invest in this unknown crypto before it gets listed on Binance!",HIGH_RISK
103,"New highway project approved to reduce travel time by half.",LOW_RISK
104,"Is the moon landing fake? Conspiracy theories resurface.",HIGH_RISK
105,"Banks to remain closed for 10 days straight? Fact check.",MEDIUM_RISK
